State,module,topic,module2,module3
AFT,Afternoon Checkin,Rapport Building Conversation,Afternoon checkin,Afternoon checkin (Rapport Building)
AP_GIVE_BACK,Practicing Altruism,Rapport Building Conversation,Practicing altruism,Practicing altruism (Rapport Building)
CBT,Cognitive Behavioral Therapy Basic,Intervention,Cognitive behavioral therapy,Cognitive behavioral therapy (Intervention)
COGDISTORT_ED,Cognitive Distortion Psycheducation,Intervention,Cognitive distortion psycheducation,Cognitive distortion psycheducation (Intervention)
COOK,Cooking Interests,Rapport Building Conversation,Cooking interests,Cooking interests (Rapport Building)
CREATIVITY,Creative Outlets,Rapport Building Conversation,Creative outlets,Creative outlets (Rapport Building)
DEEP_BREATH,Deep Breathing Exercise,Intervention,Deep breathing exercise,Deep breathing exercise (Intervention)
EA,Emotional Assessment (How are you?),System Core Module,Emotional assessment (How are you?),Emotional assessment (How are you?) (System)
EA_GEN,Emotional Assessment (How are you?),System Core Module,Emotional Assessment (How are you?),Emotional Assessment (How are you?) (System)
EB,Any fun plans?,Rapport Building Conversation,Any fun plans?,Any fun plans? (Rapport Building)
ED,Best thing to happen recently?,Rapport Building Conversation,Best thing to happen recently?,Best thing to happen recently? (Rapport Building)
EF,Have you relaxed today?,Rapport Building Conversation,Have you relaxed today?,Have you relaxed today? (Rapport Building)
ELABORATE,Switch to new emotion,System Core Module,Switch to new emotion,Switch to new emotion (System)
EVAL,Evaluate Helpfulness of Intervention,System Core Module,Evaluate Helpfulness of Intervention,Evaluate Helpfulness of Intervention (System)
EVALJTAI,Evaluate Helpfulness of Rapport Building Conversation,System Core Module,Evaluate Helpfulness of Rapport Building Conversation,Evaluate Helpfulness of Rapport Building Conversation (System)
FEED,Feedback Request,System Core Module,Feedback Request,Feedback Request (System)
FILM,Favorite Films,Rapport Building Conversation,Favorite films,Favorite films (Rapport Building)
GEN_HEALTH_DIET,General Health Diet,Rapport Building Conversation,General health diet,General health diet (Rapport Building)
GEN_HEALTH_ED,General Health Education,Rapport Building Conversation,General health education,General health education (Rapport Building)
GET_PERSONAL,Get to know user,Rapport Building Conversation,Get to know user,Get to know user (Rapport Building)
MINDFUL_MEDITATION,Mindfulness Based Meditation,Intervention,Mindfulness based meditation,Mindfulness based meditation (Intervention)
MUSIC,Music,Rapport Building Conversation,Music,Music (Rapport Building)
NEWABILITY,New skill or hobby,Rapport Building Conversation,New skill or hobby,New skill or hobby (Rapport Building)
PASSION,Passion,Rapport Building Conversation,Passion,Passion (Rapport Building)
QUOTES_REFLECT,Reflect on Inspirational Quotes,Rapport Building Conversation,Reflect on inspirational quotes,Reflect on inspirational quotes (Rapport Building)
RLX,Relaxation Technique,Intervention,Relaxation technique,Relaxation technique (Intervention)
SCHED,Schedule time for self care,Intervention,Schedule time for self care,Schedule time for self care (Intervention)
SELF_REFLECT,Self Reflection,Intervention,Self reflection,Self reflection (Intervention)
SPORTS,Sports,Rapport Building Conversation,Sports,Sports (Rapport Building)
System,System Core Module,System Core Module,System Core Module,System Core Module (System)
TIRED_CARE,Relaxation Technique,Intervention,Relaxation technique,Relaxation technique (Intervention)
TRAVEL,Travel ,Rapport Building Conversation,Travel ,Travel  (Rapport Building)
TTM,Transtheoretical Model,Intervention,Transtheoretical model,Transtheoretical model (Intervention)